property_name,additional_info,address,area,city,hotel_category,hotel_facilities,hotel_star_rating,province,review_count_by_category,room_count,room_facilities,room_type,site_review_rating,state
Shivshakti Hotel,,"Rampur Kedarnath Mg,Rudraprayag H O","Rampur Kedarnath Mg,Rudraprayag H O",Rudraprayag,regular,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|First-Aid Kit at Front Desk,0,Rudraprayag,,16,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|TV|Dressing Area|Luggage Rack|Attached Bathroom|Closet|Dustbins,standard room,,Uttarakhand
Sri Krishnas Guest House,Room Service,"29/31, Ranga Pillai St",Others,Pondicherry,regular,Doctor on Call|Parking Facilities Available|Front Desk|Room Service (24 Hours)|Fire Exit Signs,2,Pondicherry,,50,Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Telephone,ac room,,Pondicherry
SHRI AMBICA HOTEL,Room Service|Internet Access|Free Internet,"Devka Beach Road, Bhimpore Char Rasta, Daman HO, Daman - 396210, Next to Ambica Wines, Bhimpore	(Map)",Devka Beach Road,Daman,regular,Doctor on Call|Dry Cleaning|Lobby|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,0,Daman,,12,"Room Service |Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|TV|Mirror|Luggage Rack|Attached Bathroom|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|In-Room Safe",AC DELUXE ROOM,,Gujarat
Sri Puri Palace Guest House,,"Chakratirtha Road, Puri Ho, Near Sonar Gauranga",Chakratirtha Road,Puri,regular,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Laundry Service Available|Non Smoking Rooms|Front Desk|24 Hour Front Desk,0,Puri,,15,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Extra Bed, Towels, Linens, Bedding (on request)",A/C ROOMS,,Orissa
Sonu Regency,Room Service,"No 16, Sabne Road Mahableshwar",Main Town,Mahabaleshwar,regular,Airport Transfer Available / Surcharge|Doctor on Call|Gift Shop |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Car Rental|Food Facility|Courier Service|Parking Facility|Room Service,0,Mahabaleshwar,positive reviews::6|critical reviews::2|reviews with images::3,13,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone| Hot / Cold Running Water|Toiletries|TV,A/C Room,3.6,Maharashtra
Sovereign Residency,Internet Access,"C-241, Sector-44,Noida",Sector 44,Noida,regular,Power Backup|Taxi Services|Parking Facility|Internet Access,0,Noida,positive reviews::15|critical reviews::0|reviews with images::1,14,"Room Service |Air Conditioning |Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Microwave Oven Available |Internet Connection In Room|Refrigerator|Washing machine| Hot / Cold Running Water|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|TV",Deluxe Room,4.6,Uttar Pradesh
Simla Palace Hotel,Room Service|Restaurant,"5, Old RTO Compound, Latouche Road, Hazratganj",Hazratganj,Lucknow,regular,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Parking Facility|Restaurant|Room Service|Public Restrooms,0,Lucknow,,8,Room Service |Basic Bathroom Amenities|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Mirror|Attached Bathroom|Dustbins|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting,Standard Room,,Uttar Pradesh
Sm homes,,"No. 106 - 62 Ellalamman, Colony 5th street, Behind STELLAMARIS Collage, cathedral road chennai 86",Chennai City Centre,Chennai,regular,Doctor on Call,0,Chennai,,6,,Deluxe Room,,Tamil Nadu
Sri Shantinivas lodge,Room Service|Internet Access|Restaurant|Free Internet,"D.No:22-1-37, PR College Road,Shanthi Bhavan Complex, R R Road, Kakinada - 01",,Kakinada,regular,Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Board Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Airport Transfer Free|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms,0,Kakinada,,1,"Room Service |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Crockery / Cutlery|Ensuite / Private Bathroom|Heating Facility (on request) |Tea Coffee Kettle / Maker|Microwave Oven Available |Mini bar - On Charge |Telephone|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries",Non A/c Double Ordinary Room,,Andhra Pradesh
"Skyla Serviced Apartments-RoadNo 10,Banjara Hills",Room Service|Free Internet,"Flat No 20, Happy Vally, Road No 10, Next to Income Tax Colony, Banjara Hills",Banjara Hills Area,Hyderabad,regular,Laundry Service Available|Lift / Elevator|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,Hyderabad,,3,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Microwave Oven Available |Internet Connection In Room|Refrigerator|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Primium Bathrooms|HD / LCD Satellite TV |Split A.C's|Snacks / Beverage|TV|Attached Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|In-room Storage Space,Executive Room,,Andhra Pradesh
Skylite hotels,Room Service|Internet Access|Restaurant|Free Internet,"Airport Road, Sitra.","Sitra, Avinashi Road",Coimbatore,gostays,"Currency Exchange|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Wake-up Call / Service|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking (Surcharge)|Courier Service|Internet / Fax (Reception area only)|Parking Facility|Room Service|Public Restrooms",2,Coimbatore,positive reviews::95|critical reviews::16|reviews with images::7,28,Room Service |Ceiling Fan|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Safe - In - Room |Bidet|TV|Mirror|Attached Bathroom,Comfort Non A/C,4,Tamil Nadu
Social Rehab,Free Internet,"273, 6th Main Rd, Indira Nagar III Stage, Motappapalya, Indiranagar, Bengaluru, Karnataka",Indiranagar,Bangalore,regular,Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Food Facility|Internet Access Free,0,Bangalore,positive reviews::3|critical reviews::0|reviews with images::1,8,Room Service |Basic Bathroom Amenities|Housekeeping|Breakfast Available,Single Bed Dormitary,4.5,Karnataka
SPARSH INN,Room Service|Free Internet,"3 Shivaalik, Sector 61 Noida (Near Sai Temple)",Others,NOIDA,regular,Laundry Service Available|Parking Facilities Available|Power Backup|Gardens|Internet Access Free|Outdoor Parking - Secured|Room Service,2,NOIDA,positive reviews::4|critical reviews::0|reviews with images::0,7,Room Service |Air Conditioning |Basic Bathroom Amenities|Housekeeping,Super Deluxe Room,4.8,Uttar Pradesh
SP Beach Resort,,"Wairy Bhuthnath,Near Bhuthnath Temple Tarkarli Beach road  Malvan (416606) Maharashtra, India",Tarkarli Beach,Malwan,regular,,0,Malwan,,5,,AC ROOM,,Maharashtra
SRI GURU SRINU RESIDENCY,Free Internet,"Flat No 152a, 152b, South Mada Street, Tirupati Ho, Tirupati - 517501, Near Govindha Raju Swamy Temple",G N Mada Street,Tirupati,regular,Air-Conditioning - Central|Extra Person / Child - Share the same room|Internet Access Free|Family Room|Fire Safety,1,Tirupati,,90,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan,DOUBLE BED,,Andhra Pradesh
Sri Ganesh Comforts,Room Service|Internet Access,"House No 9-23 Sri Ganesh Complex, Lalitha Nagar, Dilsukh Nagar, Hyderabad",Others,Hyderabad,regular,Airport Transfer Available / Surcharge|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Room Service|Public Restrooms,0,Hyderabad,,65,"Room Service |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Clothes Dryer|Crockery / Cutlery|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Shaving Kit /Dental Kit|Moisturiser|Mirror|Dustbins",Non A/C Single Bed,,Andhra Pradesh
Shri Ratna Guest House,Room Service,"Main Road, Kollur",Main Road,Kollur,regular,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Doorman|Power Backup|Family Room|Room Service (24 Hours)|Baggage Room|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,Kollur,,25,"Room Service |Alarm Clock|Basic Bathroom Amenities|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Bathtub Only|Mirror|Attached Bathroom|Bathtub|Dustbins|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting",AC Room,,Karnataka
SINGHANIA GUEST HOUSE,Room Service|Free Internet,malviya chowk panchvati nashik,Nashik Main Town,Nashik,regular,Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Wake-up Call / Service|Nature Walk|Veranda|Water Dispenser Available|Internet Access Free|Family Room|Room Service (24 Hours)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days,0,Nashik,positive reviews::3|critical reviews::0|reviews with images::0,10,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|TV|Mirror|Attached Bathroom|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Dustbins",Double bed non ac,5,Maharashtra
Soudhamini Homestay,Room Service|Gym/Spa,Soudhamini Estate Hosallipet,Mallandur,Chikmagalur,regular,Games Zone|Health Club / Gym Facility Available|Parking Facilities Available|Local Tour / Travel Desk|Welcome Drinks|Power Backup|Room Service,0,Chikmagalur,positive reviews::1|critical reviews::0|reviews with images::1,5,Basic Bathroom Amenities|Housekeeping|Desk in Room|Luggage Rack,Bunglow Cottages,5,Karnataka
sri Balaji Residence,,"No.1/7, Dr Modi Road, West Of Chord Road, Rajajinagar, Bangalore - 560010, Near Modi Hospital	 (Map)",Malleswaram,Bangalore,regular,Doctor on Call|Parking Facilities Available|Front Desk|Outdoor Parking - Secured|Parking Facility,0,Bangalore,positive reviews::0|critical reviews::1|reviews with images::0,5,Room Service |Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers,Standard Room,1,Karnataka
SILVER BIRCH COTTAGE,Room Service,Manali  Prini V.P.O. Prini village Hamta Road Near Club Mahindra Teh Manali,Village Prini,Manali,regular,Doctor on Call|Lobby|Parking Facilities Available|Room Service,3,Manali,positive reviews::1|critical reviews::0|reviews with images::0,10,"Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Telephone|Shower Facility Available|Newspapers|Shower Caps Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Bathtub Only|Handheld Showers|TV|Room Heater|Attached Bathroom|Bathtub|Clothes Hook in Bathroom|Modern Toilet Facilities|Western Toilet Seat",Setan Super Deluxe,5,Himachal Pradesh
Shri Ganesh Bhavan,Room Service,"80/1,Usman Road, T.Nagar,Opp.Ranganathan Street",Usman Road,Murudeshwar,regular,Doctor on Call|Front Desk|Parking Facility|Room Service|Public Restrooms,0,Murudeshwar,,7,Room Service |Alarm Clock|Ceiling Fan|Radio|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Window Opens|Makeup / Shaving Mirror|Air Cooler|TV|Mirror|Luggage Rack|Attached Bathroom|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting,Deluxe,,Karnataka
Sikara Service Aparment ( Tambaram),Internet Access|Gym/Spa,"No.17, Johnson Street, Behind Hindu Mission Hospital West Tambaram",Guindy,Chennai,regular,Doctor on Call|Health Club / Gym Facility Available|Internet Access - Surcharge|Local Tour / Travel Desk|Air-Conditioning - Central,0,Chennai,positive reviews::18|critical reviews::6|reviews with images::1,13,Breakfast Available,Deluxe Room,3.6,Tamil Nadu
Shrinath Inn,,"N.H.8, Near Private Bus Stand, Opp. Police Station, Nathdwara",Opp. Police Station,Nathdwara,regular,Doctor on Call|Lobby|Newspapers In Lobby,2,Nathdwara,positive reviews::11|critical reviews::2|reviews with images::4,39,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Makeup / Shaving Mirror|Attached Bathroom,Classic Room,4,Rajasthan
SRI  VENKATESWARA HOTEL,,"Sri Venkateswara Hotel Temple Street, Near Police Station, Opp. Tanisha Marriage Hall, Bhadrachalam, District Khammam, Telangana 507111",Opposite Thanisha Kalyana Mandapam,Bhadrachalam,regular,Doctor on Call|ATM / Banking|Family Room|STD / ISD|Public Restrooms,1,Bhadrachalam,,4,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Toiletries,Deluxe Room,,Andhra Pradesh
SIMILIPAL KHAIRI RESORT,,"Bangriposi, Hanada, NH6, Bangriposi",Bangriposi,Mayurbhanj,regular,Doctor on Call|Medical Assistance Available|Wake-up Call / Service|Parking Facility,0,Mayurbhanj,,3,Air Conditioning |Basic Bathroom Amenities|TV,Delux AC Room,,Orissa
SHREYAS DELUX LODGE,Room Service|Internet Access,"No : 2739 chandraguptha road,near sangam theater halladakeri mysore",Bus Stand/Railway Station Area,Mysore,regular,Business Center |Currency Exchange|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|24 Hour Front Desk|Power Backup|Car Rental|Family Room|Parking Facility|Room Service|CCTV,0,Mysore,,12,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Attached Bathroom,Double bed room,,Karnataka
Shree Hare Rama Hare Krishna Guest House,Room Service|Internet Access|Restaurant|Free Internet,"B 3/260, Shivala",Assi Ghat,Varanasi,regular,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,Varanasi,positive reviews::30|critical reviews::7|reviews with images::4,12,Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available,Standard Non AC Room,4,Uttar Pradesh
SHREE RESIDENCY,Room Service|Free Internet,"Plot No 122, Dhuleshwar Garden, Gate No 3,Hathroi , Ajmer Road , Jaipur",J L N Marg,Jaipur,regular,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available,0,Jaipur,,38,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Breakfast Available (surcharge)|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens|Coffee Table|Wardrobe|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Utensils (on request)|Attached Bathroom|Bedside Table|Daily Room Cleaning|Dustbins|Sufficient Lighting,Deluxe Room,,Rajasthan
Shree Sai Kripa Guest House,Room Service|Restaurant|Free Internet,"B 3/226, Shivala, Near Chet Singh Fort, Varanasi, Uttar Pradesh 221001",Assi Ghat,Varanasi,regular,Banquet Facilities|Billiards|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Catering|Wake-up Call / Service|Separate Sitting Area|Smoking Rooms|ATM / Banking|Kitchen available (home cook food on request)|Boating|Nature Walk|Open Air Restaurant / Dining |Transfers Available|Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Rooftop Garden|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Spa Services Nearby|Parking (Surcharge)|Air / Rail Booking|RO Water Purification System|Outdoor Parking - Secured|Parking Facility,0,Varanasi,positive reviews::14|critical reviews::3|reviews with images::4,21,Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Attached Bathroom,Standard Room Non A/C,3.6,Uttar Pradesh
Sonbhadra Tourist Resort,Room Service,Amarkantak Road Amadob,Amadobh,Amadob,regular,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Power Backup|Gardens,0,Amadob,positive reviews::2|critical reviews::0|reviews with images::1,12,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Telephone| Hot / Cold Running Water,Deluxe Room,4.3,Chhattisgarh
Snow Crown Cottage,Room Service|Internet Access|Restaurant,"kanyal road, simsa",Village Simsa,Manali,regular,Banquet Facilities|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|ATM / Banking|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,Manali,positive reviews::1|critical reviews::0|reviews with images::1,16,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Safe - In - Room |HD / LCD Satellite TV |Mirror|Attached Bathroom|Bathtub,Super Deluxe Room,4.6,Himachal Pradesh
Shubham Holiday Inn,Room Service,Shubham Complex Sector 11 C Wing Plot 1 and 3 New Panvel,Panvel,Panvel,regular,Doctor on Call|Front Desk|24 Hour Front Desk|Room Service (24 Hours),0,Panvel,,16,TV|Mirror,Standard Non A/C Room,,Maharashtra
Sisodiya Hotel,Room Service|Internet Access|Restaurant|Free Internet,"1. New Fatehpura , Panchwati",New Fatehpura,Udaipur,regular,Business Center |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Power Backup|Veranda|Transfers Available|Food Facility|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,0,Udaipur,,8,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Toiletries|Makeup / Shaving Mirror|Slippers|TV|Mirror|Attached Bathroom|Bathtub|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Daily Room Cleaning|Dustbins,Deluxe Room,,Rajasthan
Sri Balaji Hotels,Room Service|Restaurant|Free Internet,"19/5, East Muniappan Kovil Street, salem-namakkal main road Tiruchengode Nammakkal(DT),",Anna Statue Area,Tiruchengode,regular,Banquet Facilities|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Electronic / Magnetic Keys|Picnic Area|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Paid Transfers|Pest Control Facility|Porter Services Available|Public Restrooms|Suites,2,Tiruchengode,positive reviews::6|critical reviews::1|reviews with images::2,11,,Double Deluxe A/C,3.9,Tamil Nadu
Skyla Serviced Apartments - Banjara hills,,"Vinayagar Mangalgiri Apartments Road no 10, City Near Center Mall, Banjara hills",Banjara Hills Area,Hyderabad,regular,Doctor on Call|Lobby|Front Desk|Power Backup|RO Water Purification System,3,Hyderabad,,12,Room Service |Air Conditioning |Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|TV|Mirror|Attached Bathroom,Executive Room,,Andhra Pradesh
Shoba Residency,Room Service|Internet Access|Free Internet,"Shoba Residency #253,Hennur Main Road(Near Hennur Bus Depot), HBR Layout,2nd Block,Stage 1,Kacharakanahalli, Kalyan Nagar,Bangalore-43",Kammanahalli,Bangalore,regular,Airport Transfer Available / Surcharge|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Power Backup|Wake-up Call / Service|Conference Facility |Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Parking Facility|Internet Access|Room Service,2,Bangalore,positive reviews::14|critical reviews::0|reviews with images::2,16,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Internet Connection In Room|Telephone|Newspapers|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Premium Amenities / Toiletries|Wardrobe|HD / LCD Satellite TV |Split A.C's|TV|Mirror|Custom Duvets / Linen|Luggage Rack|Attached Bathroom",Executive Room AC,4.3,Karnataka
Sign Regency Hotel,Room Service|Internet Access|Restaurant,"#51/1,Near APSRTC Bus stand, Bellary Road",New Bus Stand Road,Kurnool,regular,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Power Backup|Parking Facility|Internet Access|Restaurant|Room Service,3,Kurnool,positive reviews::134|critical reviews::15|reviews with images::29,44,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Mini bar - On Charge |Internet Connection In Room| Hot / Cold Running Water|Breakfast Available|HD / LCD Satellite TV,Standard Room,4.2,Andhra Pradesh
Shreeji Resort,Room Service,"N.H.8, Nathuwas,",Nathuwas Nh8,Nathdwara,regular,Doctor on Call|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Smoking Rooms|Nature Walk|Veranda|Extra Person / Child - Share the same room|Water Dispenser Available|Food Facility|Room Service (24 Hours)|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|Full Time Operation for All 7 Days|Public Restrooms,0,Nathdwara,,9,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Slippers|TV|Mirror|Attached Bathroom|Closet|Clothes Hook in Bathroom|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|In-room Storage Space|Sufficient Lighting",Deluxe Room,,Rajasthan
SHIVDEI RESORTS,Room Service|Internet Access|Restaurant|Free Internet,"HISAR ROAD , NR. DELHI POLL SIRSA","Near Delhi Flyover ,Hissar Road",Sirsa,regular,Banquet Facilities|Beauty Salon - on charge|Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wedding Services Facility|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Conference Facility |Disabled Friendly Rooms|Multi - Line Phone|Wheelchair Accessibility - Room|Massage Services |Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Taxi Services|Rooftop Garden| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|Courier Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Pest Control Facility|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Speciality Restaurant |Stamps and Mailing Facility|Suites,3,Sirsa,positive reviews::77|critical reviews::5|reviews with images::2,34,Room Service |Alarm Clock|Cable / Satellite / Pay TV available|Crockery / Cutlery|Heating Facility (on request) |Iron / Ironing board available|Mini bar - On Charge |Refrigerator|Stove / Oven|Toaster|Reading Lamps|Mineral Water|Housekeeping|Desk in Room|Breakfast Available|Makeup / Shaving Mirror|Safe - In - Room |Wardrobe|Split A.C's|TV|Room Heater|Ice Bucket on Demand|In-room Storage Space,Deluxe,4.7,Haryana
Sony Guest House,Room Service,"plot no 101, sector 10,",Others,Gurgaon,regular,Front Desk|Parking Facility|Room Service|Fire Safety|Fire Exit Signs,0,Gurgaon,,12,Room Service |Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|TV|Mirror|Dustbins|Sufficient Lighting|Breakfast chargeable,Deluxe Rooms,,Haryana
